,Fiyat,İl,İlçe,İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Yakıt Tipi,Vites Tipi,Motor Hacmi,Motor Gücü,Kilometre,Boya-değişen,Kimden,Sağ Arka Çamurluk,Arka Kaput,Sol Arka Çamurluk,Sağ Arka Kapı,Sağ Ön Kapı,Tavan,Sol Arka Kapı,Sol Ön Kapı,Sağ Ön Çamurluk,Motor Kaputu,Sol Ön Çamurluk,Ön Tampon,Arka Tampon,URL
0,100000,ÇANAKKALE,MERKEZ,17587611,29 Mayıs 2021,Volkswagen,Polo,1.2 TDi Trendline,2013,Dizel,Düz,1199,75,185000,Belirtilmemiş,Sahibinden,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-polo-1-2-tdi-trendline/sahibinden-volkswagen-polo-1-2-tdi-trendline-2013-model/17587611
1,100000,SİVAS,MERKEZ,17567108,26 Mayıs 2021,Volkswagen,Golf,1.6 FSi Midline,2004,Benzin,Düz,1598,115,120000,"1 değişen, 7 boyalı",Sahibinden,Boyanmış,Orijinal,Boyanmış,Boyanmış,Boyanmış,Orijinal,Boyanmış,Boyanmış,Boyanmış,Orijinal,Değişmiş,Orijinal,Orijinal,https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-golf-1-6-fsi-midline/sahibinden-volkswagen-golf-1-6-fsi-midline-2004-model/17567108
2,100000,DİYARBAKIR,KAYAPINAR,17566471,26 Mayıs 2021,Volkswagen,Jetta,1.6 FSi Comfortline,2007,Benzin,Düz,1598,115,206100,Tamamı orjinal,Sahibinden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-jetta-1-6-fsi-comfortline/aciliyetten-bu-fiyata-veriyorum-emsallerine-gore-uygun-hatasiz-boyasiz-degisensiz/17566471
3,100000,ESKİŞEHİR,ODUNPAZARI,17130093,26 Mayıs 2021,Volkswagen,Bora,1.6 Pacific,2004,LPG & Benzin,Düz,1595,105,102900,Tamamı orjinal,Sahibinden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-bora-1-6-pacific/sahibinden-volkswagen-bora-1-6-pacific-2004-model/17130093
4,100000,AFYONKARAHİSAR,MERKEZ,16327131,25 Mayıs 2021,Volkswagen,Golf,1.6 Comfortline,2007,LPG & Benzin,Yarı Otomatik,1595,102,235000,"2 değişen, 4 boyalı",Sahibinden,Lokal Boyanmış,Orijinal,Orijinal,Lokal Boyanmış,Orijinal,Orijinal,Lokal Boyanmış,Orijinal,Değişmiş,Boyanmış,Değişmiş,Orijinal,Orijinal,https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-golf-1-6-comfortline/2007-model-yari-otomatik-aile-araci/16327131
5,100000,ANTALYA,ALANYA,17546848,23 Mayıs 2021,Volkswagen,Jetta,1.6 FSi Midline,2006,Benzin,Düz,1598,115,193000,Belirtilmemiş,Sahibinden,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-jetta-1-6-fsi-midline/sahibinden-volkswagen-jetta-1-6-fsi-midline-2006-model/17546848
6,100000,ANKARA,YENİMAHALLE,17543248,22 Mayıs 2021,Volkswagen,Polo,1.6 TDi Comfortline,2011,Dizel,Düz,1598,90,172500,Belirtilmemiş,Sahibinden,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-polo-1-6-tdi-comfortline/sahibinden-volkswagen-polo-1-6-tdi-comfortline-2011-model/17543248
7,100000,KIRIKKALE,MERKEZ,17528342,20 Mayıs 2021,Volkswagen,Golf,1.6 Primeline,2005,LPG & Benzin,Otomatik,1595,102,184000,"1 değişen, 2 boyalı",Sahibinden,Değişmiş,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Boyanmış,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-golf-1-6-primeline/sahibinden-volkswagen-golf-1-6-primeline-2005-model/17528342
8,100000,KAYSERİ,TALAS,17381101,18 Nisan 2021,Volkswagen,Passat,1.9 TDi Comfortline,1998,Dizel,Düz,2000,150,360,Belirtilmemiş,Sahibinden,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-passat-1-9-tdi-comfortline/sahibinden-volkswagen-passat-1-9-tdi-comfortline-1998-model/17381101
9,100000,ANKARA,ETİMESGUT,16437573,16 Nisan 2021,Volkswagen,Polo,1.2 TDi BlueMotion,2012,Dizel,Düz,1199,75,193000,"1 değişen, 1 boyalı",Sahibinden,Orijinal,Orijinal,Lokal Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Değişmiş,Orijinal,Orijinal,https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-polo-1-2-tdi-bluemotion/sahibinden-volkswagen-polo-1-2-tdi-bluemotion-2012-model/16437573
10,100000,HATAY,PAYAS,17357223,14 Nisan 2021,Volkswagen,Jetta,1.6 Midline,2009,LPG & Benzin,Otomatik,1595,102,255580,"1 değişen, 12 boyalı",Sahibinden,Boyanmış,Değişmiş,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-jetta-1-6-midline/sahibinden-volkswagen-jetta-1-6-midline-2009/17357223
11,100000,ADANA,SARIÇAM,17320154,07 Nisan 2021,Volkswagen,Passat,1.8 TSi Exclusive,2008,Benzin,Düz,1798,160,280000,Belirtilmemiş,Sahibinden,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-passat-1-8-tsi-exclusive/sahibinden-volkswagen-passat-1-8-tsi-exclusive-2008-model/17320154
12,100000,İSTANBUL,ESENLER,16062052,04 Nisan 2021,Volkswagen,Passat,2.0 TDi Comfortline,2007,Dizel,Düz,1968,140,285000,"2 değişen, 11 boyalı",Sahibinden,Değişmiş,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Değişmiş,Boyanmış,Boyanmış,Boyanmış,Boyanmış,https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-passat-2-0-tdi-comfortline/sahibinden-volkswagen-passat-2-0-tdi-comfortline-2007-model/16062052
13,100000,TEKİRDAĞ,ÇORLU,17251897,28 Mart 2021,Volkswagen,Jetta,1.4 TSi Exclusive,2011,Benzin,Yarı Otomatik,1390,122,203000,Belirtilmemiş,Sahibinden,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-jetta-1-4-tsi-exclusive/sahibinden-volkswagen-jetta-1-4-tsi-exclusive-2011-model/17251897
14,100000,YOZGAT,SARIKAYA,16371058,28 Mart 2021,Volkswagen,Passat,1.8 T Highline,2003,LPG & Benzin,Otomatik,1781,150,320000,8 boyalı,Sahibinden,Boyanmış,Orijinal,Boyanmış,Boyanmış,Boyanmış,Orijinal,Orijinal,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Orijinal,Orijinal,https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-passat-1-8-t-highline/sahibinden-volkswagen-passat-1-8-t-highline-2003-model/16371058
15,100000,SAMSUN,ATAKUM,17249945,27 Mart 2021,Volkswagen,Polo,1.2 TDi BlueMotion,2012,Dizel,Düz,1199,75,200000,6 boyalı,Sahibinden,Lokal Boyanmış,Orijinal,Boyanmış,Lokal Boyanmış,Orijinal,Orijinal,Boyanmış,Boyanmış,Orijinal,Orijinal,Boyanmış,Orijinal,Orijinal,https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-polo-1-2-tdi-bluemotion/sahibinden-volkswagen-polo-1-2-tdi-bluemotion-2012-model/17249945
16,100000,KARS,MERKEZ,17243755,26 Mart 2021,Volkswagen,Touran,1.6 FSi Highline,2005,LPG & Benzin,Düz,1598,115,181000,Belirtilmemiş,Sahibinden,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-touran-1-6-fsi-highline/sahibinden-volkswagen-touran-1-6-fsi-highline-2005-model/17243755
17,100000,KIRŞEHİR,MERKEZ,17220654,23 Mart 2021,Volkswagen,Golf,1.6 Primeline,2006,LPG & Benzin,Düz,1595,102,160000,3 boyalı,Sahibinden,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Boyanmış,Boyanmış,Orijinal,Orijinal,https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-golf-1-6-primeline/sahibinden-volkswagen-golf-1-6-primeline-2006-model/17220654
18,100000,ŞANLIURFA,EYYÜBİYE,17206213,21 Mart 2021,Volkswagen,Passat,1.6 Trendline,2010,LPG & Benzin,Düz,1595,102,246000,"1 değişen, 9 boyalı",Sahibinden,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Orijinal,Lokal Boyanmış,Boyanmış,Değişmiş,Boyanmış,Boyanmış,Orijinal,Orijinal,https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-passat-1-6-trendline/sahibinden-volkswagen-passat-1-6-trendline-2010-model/17206213
