,Fiyat,İl,İlçe,İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Yakıt Tipi,Vites Tipi,Motor Hacmi,Motor Gücü,Kilometre,Boya-değişen,Kimden,Sağ Arka Çamurluk,Arka Kaput,Sol Arka Çamurluk,Sağ Arka Kapı,Sağ Ön Kapı,Tavan,Sol Arka Kapı,Sol Ön Kapı,Sağ Ön Çamurluk,Motor Kaputu,Sol Ön Çamurluk,Ön Tampon,Arka Tampon,URL
0,91750,ESKİŞEHİR,ODUNPAZARI,17582283,03 Haziran 2021,Fiat,Linea,1.3 Multijet Active Plus,2014,Dizel,Düz,1400,100,164750,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-linea-1-3-multijet-active-plus/hatasiz-2014-fiyat-linea-sadece-165-binde-dizel-1-3-multijet/17582283
1,82750,ESKİŞEHİR,ODUNPAZARI,17545384,03 Haziran 2021,Fiat,Punto,EVO 1.3 Multijet Dynamic,2012,Dizel,Düz,1400,75,198000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-punto-evo-1-3-multijet-dynamic/fiyat-punto-dinamik-1-3-multijet-sadece-198-binde-fulll/17545384
2,105750,İZMİR,BUCA,17601448,03 Haziran 2021,Fiat,Punto,1.3 Multijet Popstar,2013,Dizel,Düz,1248,75,98000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-punto-1-3-multijet-popstar/2013-model1-3-multijet-euro598-bin-km-dehatasiz-boyasiz/17601448
3,95500,TOKAT,ZİLE,16030615,03 Haziran 2021,Fiat,Punto,EVO 1.3 Multijet Dynamic,2011,Dizel,Yarı Otomatik,1248,95,142000,"2 değişen, 3 boyalı",Galeriden,Orijinal,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Boyanmış,Boyanmış,Orijinal,Değişmiş,Değişmiş,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-punto-evo-1-3-multijet-dynamic/141-bin-km-de-1-3-multijet-otomatik-vites-start-stop/16030615
4,32750,İSTANBUL,KARTAL,17596364,03 Haziran 2021,Fiat,Uno,70 S,2000,LPG & Benzin,Düz,1372,71,235000,Belirtilmemiş,Galeriden,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.arabam.com/ilan/galeriden-satilik-fiat-uno-70-s/2000-model-uno-70-s-lpg-yeni-muayenesi-yeni-ruhsat-sahibinden-temiz-arac-aciil/17596364
5,61000,KARABÜK,SAFRANBOLU,17607925,03 Haziran 2021,Fiat,Punto,Grande 1.3 Multijet Active,2008,Dizel,Düz,1248,75,279000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-punto-grande-1-3-multijet-active/2008-fiat-punto-1-3-mjet/17607925
6,82750,NİĞDE,MERKEZ,17292094,03 Haziran 2021,Fiat,Bravo,1.4 Turbo Dynamic,2008,Benzin,Düz,1368,120,245000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-bravo-1-4-turbo-dynamic/2008-fiat-bravo-1-4-tjet-turbo-dynamic-hatasiz-120-bg-6-ileri/17292094
7,117750,ANTALYA,ALANYA,17405442,02 Haziran 2021,Fiat,Linea,1.3 Multijet Urban,2015,Dizel,Düz,1248,95,97779,Belirtilmemiş,Galeriden,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.arabam.com/ilan/galeriden-satilik-fiat-linea-1-3-multijet-urban/2015-model-1-3-multijet-urban-hatasiz-boyasiz-ilk-sahibinden/17405442
8,142000,ANTALYA,MURATPAŞA,17603558,02 Haziran 2021,Fiat,Egea,1.6 Multijet Comfort,2017,Dizel,Yarı Otomatik,1598,120,109161,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-1-6-multijet-comfort/2017-otomatik-digital-kilima-120-hp-egea/17603558
9,72000,BİTLİS,AHLAT,17530949,02 Haziran 2021,Fiat,Palio,1.4 Fire Active Sole,2011,LPG & Benzin,Düz,1368,77,129000,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-fiat-palio-1-4-fire-active-sole/temiz-fiat-palio-1-4-active-lpg-li-dusuk-km/17530949
