,Fiyat,İl,İlçe,İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Yakıt Tipi,Vites Tipi,Motor Hacmi,Motor Gücü,Kilometre,Boya-değişen,Kimden,Sağ Arka Çamurluk,Arka Kaput,Sol Arka Çamurluk,Sağ Arka Kapı,Sağ Ön Kapı,Tavan,Sol Arka Kapı,Sol Ön Kapı,Sağ Ön Çamurluk,Motor Kaputu,Sol Ön Çamurluk,Ön Tampon,Arka Tampon,URL
0,749000,UŞAK,MERKEZ,17324917,08 Nisan 2021,Skoda,SuperB,2.0 TDI Laurin&Klement,2020,Dizel,Yarı Otomatik,2000,200,0,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-2-0-tdi-laurin-klement/0-km-18-kdv-li-skoda-superb-4x4-l-k-crystal-dsg-200-luk/17324917
1,687500,KÜTAHYA,MERKEZ,17082640,03 Mayıs 2021,Skoda,SuperB,2.0 TDI Laurin&Klement,2020,Dizel,Yarı Otomatik,2000,200,28500,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-2-0-tdi-laurin-klement/2020-laurin-klement-crystal-4x4-canton-28-500-km-de/17082640
2,505000,İSTANBUL,BAĞCILAR,15498734,18 Mayıs 2021,Skoda,SuperB,1.6 TDI Prestige,2020,Dizel,Yarı Otomatik,1600,125,0,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-prestige/2020-skoda-super-b-dizel-otomatik-matrix-far-cam-tavan-hayalet/15498734
3,498000,ANTALYA,MANAVGAT,16504420,02 Haziran 2021,Skoda,SuperB,1.6 TDI Prestige,2020,Dizel,Yarı Otomatik,1600,125,0,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-prestige/tr-de-tek-yaris-mavisi-yeni-direksiyon-matrix-led-far-kayar-led/16504420
4,467900,İSTANBUL,SİLİVRİ,17563091,26 Mayıs 2021,Skoda,SuperB,1.6 TDI Prestige,2020,Dizel,Yarı Otomatik,1598,120,0,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-prestige/ema-2020-0-km-skoda-superb-1-6tdi-prestge-yeni-tip-18-fatura/17563091
5,465000,NEVŞEHİR,MERKEZ,16994876,27 Mayıs 2021,Skoda,SuperB,1.6 TDI Prestige,2020,Dizel,Yarı Otomatik,1598,120,120,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-prestige/2020-superb-prestige-1-6tdi-dsg-yeni-direksiyon-keylessgo-camtvn/16994876
6,459500,İSTANBUL,KADIKÖY,17536546,21 Mayıs 2021,Skoda,SuperB,1.6 TDI Prestige,2020,Dizel,Yarı Otomatik,1598,120,14314,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-prestige/2020-superb-1-6-tdi-dsg-prestigepanoramikhayalethafizakeyles/17536546
7,459000,İSTANBUL,BAĞCILAR,15566896,26 Mayıs 2021,Skoda,SuperB,1.6 TDI Prestige,2020,Dizel,Yarı Otomatik,1598,120,15,Belirtilmemiş,Galeriden,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-prestige/2020-skoda-superb-1-6-tdi-pres-cam-tavan-geri-g-0-km/15566896
8,454500,SAMSUN,BAFRA,17392465,05 Mayıs 2021,Skoda,SuperB,1.6 TDI Premium,2020,Dizel,Yarı Otomatik,1598,120,0,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-premium/guven-otomotiv-dencamtavanli-0km-suberb-premium-1-6-tdi/17392465
9,450000,BURSA,NİLÜFER,17086521,10 Mayıs 2021,Skoda,SuperB,1.6 TDI Prestige,2020,Dizel,Yarı Otomatik,1598,120,19500,Tamamı orjinal,Galeriden,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-prestige/neskar-nilufer-2020-skoda-superb-1-6-tdi-120hp-prestige-otomatik/17086521
