,GDP,Energy_Consumption,Population
Afghanistan,637.165523187024,135133.431635,32269589.0
Albania,4413.06086120676,81753.424596,2895092.0
Algeria,5498.78409497823,1263125.279772,38140132.0
American Samoa,11505.3937142139,487.8396,55713.0
Andorra,39538.7667220426,8488.8807698,80774.0
Angola,5254.88233799616,461798.848368,26015780.0
Antigua and Barbuda,12909.7441775006,4456.95,91516.0
Argentina,13080.2547323367,2278981.79406,42202935.0
Armenia,3838.18580148382,86396.041512,2897584.0
Aruba,26189.4355088129,6355.381695,103159.0
Australia,68150.1070413215,3191696.950896,23128129.0
Austria,50716.7087062864,1076750.96634,8479823.0
Azerbaijan,7875.75695254288,311835.124872,9416801.0
"Bahamas, The",28783.5541223636,33444.90443,367168.0
Bahrain,24744.296958551,170118.015732,1315029.0
Bangladesh,981.839879150399,974607.867612,152764676.0
Barbados,16451.1635759912,11518.24046,284296.0
Belarus,7978.87261471076,738221.851368,9465997.0
Belgium,46744.6625441516,1428068.578176,11159407.0
Belize,4568.50295763852,10624.0534726,345715.0
Benin,1251.21051783537,136694.163312,10004588.0
Bermuda,99471.6388978631,4857.806334,65001.0
Bhutan,2472.71430857435,62276.04265,710238.0
Bolivia,2908.20009458765,256700.45358,10542376.0
Bosnia and Herzegovina,5131.39450642932,122047.52274,3542605.0
Botswana,7224.96528118842,76302.252864,2062536.0
Brazil,12300.3248822758,8886223.125324,201035903.0
Brunei Darussalam,44740.085018517,38152.466208,404421.0
Bulgaria,7655.12970759319,361138.630464,7265115.0
Burkina Faso,787.47017629755,141587.6877979,17072775.0
Burundi,256.976002796754,52640.755068,9540289.0
Cambodia,1013.4204006154,218031.461856,15026332.0
Cameroon,1465.63884316769,265545.989676,22077298.0
Canada,52652.5936828278,7325247.804984,35082954.0
Cayman Islands,73515.8962851792,4547.172375,59932.0
Central African Republic,380.298167643018,17633.412,4447942.0
Chad,979.812409638156,64327.0149834,13220424.0
Chile,15842.9408052125,1089062.209872,17571507.0
China,7050.64627124287,69906541.019796,1357380000.0
Colombia,8218.34784431477,1036340.935704,46495492.0
Comoros,1505.34947313614,3474.0981,741505.0
"Congo, Dem. Rep.",457.96372825635,800488.778328,71358807.0
"Congo, Rep.",3884.84751250446,80895.758616,4622761.0
Costa Rica,10490.0813312933,144973.39284,4742107.0
Cote d'Ivoire,1415.87175770634,305030.653776,22087505.0
Croatia,13674.4178049999,269624.853972,4255689.0
Cuba,6837.71289192677,290954.590308,11282720.0
Curacao,20462.7179539813,24163.613784,153822.0
Cyprus,27729.1926990735,56958.315768,1143866.0
Czech Republic,20133.1691431353,967528.86804,10514272.0
Denmark,61191.1937042028,553546.03896,5614932.0
Djibouti,2312.72880330353,6273.529875,883293.0
Dominica,7016.67647144723,1451.367185,71016.0
Dominican Republic,6238.13360825277,249437.61162,10048224.0
Ecuador,6056.3308269681,464576.915772,15707474.0
"Egypt, Arab Rep.",3262.65802934248,2033091.65808,88404640.0
El Salvador,3509.53149262616,92260.241064,6266070.0
Equatorial Guinea,20390.7193153023,65038.58,1076413.0
Estonia,19174.1003261509,119103.323112,1317997.0
Ethiopia,499.531572059907,1602226.102284,95385785.0
Fiji,4840.69371615802,19986.2776459041,865608.0
Finland,49878.0432444536,989907.774588,5438972.0
France,42592.9340943342,5997291.266988,65998687.0
Gabon,9683.57629028674,207016.828416,1817071.0
"Gambia, The",700.514971960668,9027.70121,1963711.0
Georgia,4623.74572473419,136002.922632,3717668.0
Germany,46285.7640688407,8524131.746652,80645605.0
Ghana,2345.39290574885,272282.760216,26607642.0
Greece,21874.8194678407,611811.01314,10965211.0
Greenland,47535.5899453685,8569.06175,56483.0
Grenada,7789.77638079977,2703.42779310345,108170.0
Guam,33265.3811866066,5578.56,160407.0
Guatemala,3522.77369775434,392387.9427,15043981.0
Guinea,769.003943268326,131537.98122742,10892810.0
Guinea-Bissau,634.662809239796,26358.797865,1648257.0
Guyana,5489.11384076143,25437.9420000272,759285.0
Haiti,1393.95595098815,126154.98288,10400673.0
Honduras,2102.59316626494,187332.462612,8798521.0
"Hong Kong SAR, China",38403.7777145477,358681.355676,7178900.0
Hungary,13687.5140593304,682526.441952,9893082.0
Iceland,49522.236577279,112726.408032,323764.0
India,1449.6059123387,20586036.182436,1280846129.0
Indonesia,3623.91158235134,6268373.922852,251806402.0
"Iran, Islamic Rep.",6018.32447332471,6341292.906372,76481943.0
Iraq,7076.87717988865,1040445.381348,33157050.0
Ireland,51590.1885889392,418537.146384,4623816.0
Isle of Man,83366.066358181,2354.4,83976.0
Israel,36309.4688325612,473805.5022,8059500.0
Italy,35549.9746972954,4800898.345716,60233948.0
Jamaica,4989.17139091154,86402.907864,2858709.0
Japan,40454.4474578903,11101470.100344,127445000.0
Jordan,4043.7490382702,205361.618904,8520420.0
Kazakhstan,13890.6317716835,1761351.214068,17035550.0
Kenya,1210.38801408195,578349.646992,45519889.0
Kiribati,1715.76533141614,662.70268,107890.0
"Korea, Rep.",27182.7343101936,5193184.632912,50428893.0
Kosovo,3891.26636343866,51422.528808,1818117.0
Kuwait,49388.1374119381,539781.557148,3526376.0
Kyrgyz Republic,1282.43716202467,141150.342024,5719600.0
Lao PDR,1825.66511330676,120670.2729871,6541304.0
Latvia,15120.7818885797,156374.46792,2012647.0
Lebanon,7931.08047584526,173083.484304,5914621.0
Lesotho,1193.71325496081,55096.2584289,2028519.0
Liberia,721.930055405248,73994.1100971877,4248334.0
Libya,10363.7894894551,372207.231756,6320359.0
Liechtenstein,173058.317372602,2947.36,36934.0
Lithuania,15726.626829911,196535.383956,2957689.0
Luxembourg,113625.13289956,157403.7927,543360.0
"Macao SAR, China",89287.4540184115,27437.7,577372.0
Madagascar,541.066199955123,118553.532877,22961253.0
Malawi,348.430269640572,62606.8319606,15839269.0
Malaysia,10970.1232849014,1864966.601016,29468872.0
Maldives,7928.45736514824,13368.139515,415593.0
Mali,805.032838240856,77003.25903,16449864.0
Malta,24771.0766800739,17614.202544,425967.0
Marshall Islands,3296.69816291405,1621.834,56938.0
Mauritania,1892.09548717758,38060.525,3817494.0
Mauritius,9637.00265000958,31840.069716,1258653.0
Mexico,10725.1833166036,4768735.431852,118827161.0
"Micronesia, Fed. Sts.",2994.67930442007,1524.9137,105926.0
Moldova,3322.0384362615,93058.245144,2858692.0
Monaco,177664.115616089,0.0,36901.0
Mongolia,4366.07590145025,142428.86514,2881792.0
Montenegro,7186.81926242698,26774.879076,621207.0
Morocco,3121.68117550498,594720.2862,33715693.0
Mozambique,664.078211827767,405307.821348,25560725.0
Myanmar,1162.33144011893,602192.216952,51852451.0
Namibia,5377.72731774609,65326.137984,2233510.0
Nauru,9101.91698033437,398.973,10821.0
Nepal,715.923743046061,464999.656968,26917906.0
Netherlands,52184.0618504931,1967402.901348,16804432.0
New Zealand,42962.9882149803,506175.243984,4442100.0
Nicaragua,1811.6325213683,93244.892688,6062454.0
Niger,552.570094538902,105593.901156,18504255.0
Nigeria,2961.550283849,4858124.70042,171765769.0
Northern Mariana Islands,14274.2406542056,1160.64,54784.0
Norway,102913.450843674,769047.375708,5079623.0
Oman,20865.7918179638,644064.571224,3764805.0
Pakistan,1208.90431029644,2915504.096292,191262919.0
Palau,12559.1957287288,2287.9,17606.0
Panama,11889.1276274385,134772.757056,3835437.0
Papua New Guinea,2729.89190363004,112317.41312,7788379.0
Paraguay,5926.83286284344,184889.548548,6510276.0
Peru,6756.75276926556,699305.336028,29773987.0
Philippines,2871.43090179354,1067831.156412,98871552.0
Poland,13696.4663046143,2585227.205988,38040196.0
Portugal,21647.0418118869,622462.734756,10457295.0
Puerto Rico,28513.1657351067,66069.72,3593077.0
Qatar,85050.8663450405,493750.454436,2336574.0
Romania,9547.85215096612,896228.752608,19983693.0
Russian Federation,15974.6446270517,15392751.15006,143506995.0
Rwanda,723.258312827439,76511.84516,10811543.0
Samoa,4037.50931467981,3775.701135,190717.0
San Marino,51572.5681707239,0.0,32553.0
Sao Tome and Principe,1564.67530350241,1897.501,192087.0
Saudi Arabia,24844.7443707585,4461138.562752,30052518.0
Senegal,1376.06981577192,105156.213084,13782420.0
Serbia,6755.07367461629,339829.325712,7164132.0
Seychelles,14765.6739800428,4015.8049,89949.0
Sierra Leone,716.835304734774,55904.7466,6863980.0
Singapore,56967.4257940383,450286.36254,5399162.0
Sint Maarten (Dutch part),27942.8805401415,7895.0595,36607.0
Slovak Republic,18260.0157710019,398392.65126,5413393.0
Slovenia,23496.602499332,199589.445216,2059953.0
Solomon Islands,2248.59132072751,5024.05,571335.0
South Africa,6832.45689096701,2960203.377924,53689236.0
South Sudan,1779.4693342398,22018.129992,10355036.0
Spain,29059.5479522321,3184941.549096,46620045.0
Sri Lanka,3610.28936304898,370523.719476,20585000.0
St. Kitts and Nevis,16686.0211825241,1767.805799685,50328.0
St. Lucia,9378.56236298604,3743.886375,177513.0
St. Vincent and the Grenadines,6639.60714595024,2308.4504639,108622.0
Sudan,1557.22831003842,417347.13222,37072550.0
Suriname,9402.1644191114,23847.719724,547295.0
Sweden,61126.9431963979,1268221.159656,9600379.0
Switzerland,85112.4643984141,830848.4793,8089346.0
Tajikistan,1048.22729256115,83626.054632,8059769.0
Tanzania,970.416938425046,862323.543792,48482266.0
Thailand,6168.26298501219,3039774.809832,68144501.0
Timor-Leste,1210.03264559371,4486.583,1153295.0
Togo,621.398853574683,85847.905656,6954721.0
Tonga,4428.14652130855,1261.034295,101768.0
Trinidad and Tobago,20143.6644489582,161268.460308,1353700.0
Tunisia,4222.70324540611,299472.17436,10952951.0
Turkey,12614.4802575975,3275264.97648,75928564.0
Turkmenistan,7304.28713230982,726125.265072,5366375.0
Turks and Caicos Islands,21716.5644525064,1068.184005,34731.0
Tuvalu,3454.82869218249,72.2414,10857.0
Uganda,806.595521409999,485746.221284029,35695246.0
Ukraine,4029.71125162545,2727453.555612,45489648.0
United Arab Emirates,42412.6302780364,2068864.93332,9197910.0
United Kingdom,43444.533001954,5148987.3486,64128273.0
United States,53117.6678498178,57984073.561872,315993715.0
Uruguay,16973.6742131099,162632.436012,3389439.0
Uzbekistan,2281.41097296841,1204491.406644,30243200.0
Vanuatu,3124.23307756588,2027.427,256635.0
"Venezuela, RB",12456.7124535391,1860913.90422,29783571.0
Vietnam,1886.67189633671,2063887.121196,90753472.0
Virgin Islands (U.S.),34819.1477546185,2449.944,108044.0
